# City saved on 2018/9/4@13:07:23

# Window title
Robots: Learning to program with Java
# first street, first avenue, num streets, num avenues
0 0 5 7
# intersection size
140

   becker.robots.Wall 0 1 NORTH
   becker.robots.Wall 0 1 EAST
   becker.robots.Wall 0 1 SOUTH
   becker.robots.Wall 2 3 NORTH
   becker.robots.Wall 2 3 EAST
   becker.robots.Wall 2 3 SOUTH
   becker.robots.Wall 4 5 NORTH
   becker.robots.Wall 4 5 EAST
   becker.robots.Wall 4 5 SOUTH
   becker.robots.Wall 6 7 NORTH
   becker.robots.Wall 6 7 EAST
   becker.robots.Wall 6 7 SOUTH
   becker.robots.Wall 2 1 NORTH
   becker.robots.Wall 2 1 EAST
   becker.robots.Wall 2 1 SOUTH
   becker.robots.Wall 0 3 NORTH
   becker.robots.Wall 0 3 EAST
   becker.robots.Wall 0 3 SOUTH
   becker.robots.Wall 6 5 NORTH
   becker.robots.Wall 6 5 EAST
   becker.robots.Wall 6 5 SOUTH
   becker.robots.Wall 4 7 NORTH
   becker.robots.Wall 4 7 EAST
   becker.robots.Wall 4 7 SOUTH
   becker.robots.Wall 4 1 NORTH
   becker.robots.Wall 4 1 EAST
   becker.robots.Wall 4 1 SOUTH
   becker.robots.Wall 6 3 NORTH
   becker.robots.Wall 6 3 EAST
   becker.robots.Wall 6 3 SOUTH
   becker.robots.Wall 0 5 NORTH
   becker.robots.Wall 0 5 EAST
   becker.robots.Wall 0 5 SOUTH
   becker.robots.Wall 2 7 NORTH
   becker.robots.Wall 2 7 EAST
   becker.robots.Wall 2 7 SOUTH
   becker.robots.Wall 6 1 NORTH
   becker.robots.Wall 6 1 EAST
   becker.robots.Wall 6 1 SOUTH
   becker.robots.Wall 4 3 NORTH
   becker.robots.Wall 4 3 EAST
   becker.robots.Wall 4 3 SOUTH
   becker.robots.Wall 2 5 NORTH
   becker.robots.Wall 2 5 EAST
   becker.robots.Wall 2 5 SOUTH
   becker.robots.Wall 0 7 NORTH
   becker.robots.Wall 0 7 EAST
   becker.robots.Wall 0 7 SOUTH
   becker.robots.Wall 8 1 NORTH
   becker.robots.Wall 8 1 EAST
   becker.robots.Wall 8 1 SOUTH
   becker.robots.Wall 8 3 NORTH
   becker.robots.Wall 8 3 EAST
   becker.robots.Wall 8 3 SOUTH
   becker.robots.Wall 8 5 NORTH
   becker.robots.Wall 8 5 EAST
   becker.robots.Wall 8 5 SOUTH
   becker.robots.Wall 8 7 NORTH
   becker.robots.Wall 8 7 EAST
   becker.robots.Wall 8 7 SOUTH
